Station name   : Egbert_TUC_MT_data
GG longitude   : 9999.000
GG latitude    : 9999.000
GM longitude   : 9999.000
GM latitude    : 9999.000
Number of data : 32
# TF_type  period_id    period       n     m         real           imag         std_err
     Rho       1    16416.000000  9999  9999       1.405005    9999.000000       0.043429
   Phase       1    16416.000000  9999  9999      54.000000    9999.000000       2.000000
     Rho       2    19008.000000  9999  9999       1.395501    9999.000000       0.043429
   Phase       2    19008.000000  9999  9999      55.800000    9999.000000       2.000000
     Rho       3    25056.000000  9999  9999       1.384712    9999.000000       0.043429
   Phase       3    25056.000000  9999  9999      58.000000    9999.000000       2.000000
     Rho       4    31968.000000  9999  9999       1.364551    9999.000000       0.043429
   Phase       4    31968.000000  9999  9999      59.500000    9999.000000       2.000000
     Rho       5    36288.000000  9999  9999       1.349278    9999.000000       0.043429
   Phase       5    36288.000000  9999  9999      59.500000    9999.000000       2.000000
     Rho       6    56160.000000  9999  9999       1.291369    9999.000000       0.043429
   Phase       6    56160.000000  9999  9999      62.700000    9999.000000       2.000000
     Rho       7    61344.000000  9999  9999       1.298853    9999.000000       0.043429
   Phase       7    61344.000000  9999  9999      63.900000    9999.000000       2.000000
     Rho       8    69120.000000  9999  9999       1.266467    9999.000000       0.043429
   Phase       8    69120.000000  9999  9999      64.100000    9999.000000       2.000000
     Rho       9    76896.000000  9999  9999       1.274850    9999.000000       0.043429
   Phase       9    76896.000000  9999  9999      64.600000    9999.000000       2.000000
     Rho      10   101952.000000  9999  9999       1.225051    9999.000000       0.043429
   Phase      10   101952.000000  9999  9999      66.100000    9999.000000       2.000000
     Rho      11   123552.000000  9999  9999       1.215109    9999.000000       0.043429
   Phase      11   123552.000000  9999  9999      66.900000    9999.000000       2.000000
     Rho      12   157248.000000  9999  9999       1.198107    9999.000000       0.043429
   Phase      12   157248.000000  9999  9999      68.100000    9999.000000       2.000000
     Rho      13   203040.000000  9999  9999       1.141763    9999.000000       0.043429
   Phase      13   203040.000000  9999  9999      68.500000    9999.000000       2.000000
     Rho      14   266112.000000  9999  9999       1.079904    9999.000000       0.043429
   Phase      14   266112.000000  9999  9999      68.100000    9999.000000       2.000000
     Rho      15   345600.000000  9999  9999       1.051924    9999.000000       0.043429
   Phase      15   345600.000000  9999  9999      65.800000    9999.000000       2.000000
     Rho      16   432000.000000  9999  9999       1.044148    9999.000000       0.043429
   Phase      16   432000.000000  9999  9999      67.000000    9999.000000       2.000000
