Station name   : TUC_GDS_data
GG longitude   : 9999.000
GG latitude    : 9999.000
GM longitude   : 9999.000
GM latitude    : 9999.000
Number of data : 20
# TF_type  period_id    period       n     m         real           imag         std_err
     C         1   518401.000000     1     0     726.970000    -294.300000      19.690000
     C         2   601137.000000     1     0     745.400000    -290.750000      19.580000
     C         3   697077.000000     1     0     767.810000    -292.870000      22.240000
     C         4   808330.000000     1     0     787.390000    -293.900000      20.730000
     C         5   937339.000000     1     0     807.390000    -303.640000      22.620000
     C         6  1086937.000000     1     0     832.830000    -298.100000      25.350000
     C         7  1260411.000000     1     0     845.310000    -304.040000      26.350000
     C         8  1461571.000000     1     0     857.850000    -314.850000      30.120000
     C         9  1694836.000000     1     0     882.820000    -346.310000      32.820000
     C        10  1965330.000000     1     0     905.020000    -373.690000      32.570000
     C        11  2278995.000000     1     0     916.310000    -401.370000      35.370000
     C        12  2642720.000000     1     0     929.560000    -409.610000      39.950000
     C        13  3064496.000000     1     0     953.840000    -414.910000      48.090000
     C        14  3553586.000000     1     0     992.630000    -412.070000      63.070000
     C        15  4120735.000000     1     0    1008.590000    -435.040000      71.810000
     C        16  4778400.000000     1     0    1029.910000    -466.980000      80.820000
     C        17  5541027.000000     1     0    1036.640000    -481.970000     106.790000
     C        18  6425370.000000     1     0    1119.870000    -507.970000     124.280000
     C        19  7450852.000000     1     0    1201.320000    -529.020000     152.390000
     C        20  8640000.000000     1     0    1166.220000    -571.620000     162.840000
