Station name   : TUC_MT_GDS_data
GG longitude   : 9999.000
GG latitude    : 9999.000
GM longitude   : 9999.000
GM latitude    : 9999.000
Number of data : 52
# TF_type  period_id    period       n     m         real           imag         std_err
     Rho       1    16416.000000  9999  9999       1.405005    9999.000000       0.043429
   Phase       1    16416.000000  9999  9999      54.000000    9999.000000       2.000000
     Rho       2    19008.000000  9999  9999       1.395501    9999.000000       0.043429
   Phase       2    19008.000000  9999  9999      55.800000    9999.000000       2.000000
     Rho       3    25056.000000  9999  9999       1.384712    9999.000000       0.043429
   Phase       3    25056.000000  9999  9999      58.000000    9999.000000       2.000000
     Rho       4    31968.000000  9999  9999       1.364551    9999.000000       0.043429
   Phase       4    31968.000000  9999  9999      59.500000    9999.000000       2.000000
     Rho       5    36288.000000  9999  9999       1.349277    9999.000000       0.043429
   Phase       5    36288.000000  9999  9999      59.500000    9999.000000       2.000000
     Rho       6    56160.000000  9999  9999       1.291369    9999.000000       0.043429
   Phase       6    56160.000000  9999  9999      62.700000    9999.000000       2.000000
     Rho       7    61344.000000  9999  9999       1.298853    9999.000000       0.043429
   Phase       7    61344.000000  9999  9999      63.900000    9999.000000       2.000000
     Rho       8    69120.000000  9999  9999       1.266467    9999.000000       0.043429
   Phase       8    69120.000000  9999  9999      64.100000    9999.000000       2.000000
     Rho       9    76896.000000  9999  9999       1.274850    9999.000000       0.043429
   Phase       9    76896.000000  9999  9999      64.600000    9999.000000       2.000000
     Rho      10   101952.000000  9999  9999       1.225051    9999.000000       0.043429
   Phase      10   101952.000000  9999  9999      66.100000    9999.000000       2.000000
     Rho      11   123552.000000  9999  9999       1.215109    9999.000000       0.043429
   Phase      11   123552.000000  9999  9999      66.900000    9999.000000       2.000000
     Rho      12   157248.000000  9999  9999       1.198107    9999.000000       0.043429
   Phase      12   157248.000000  9999  9999      68.100000    9999.000000       2.000000
     Rho      13   203040.000000  9999  9999       1.141763    9999.000000       0.043429
   Phase      13   203040.000000  9999  9999      68.500000    9999.000000       2.000000
     Rho      14   266112.000000  9999  9999       1.079905    9999.000000       0.043429
   Phase      14   266112.000000  9999  9999      68.100000    9999.000000       2.000000
     Rho      15   345600.000000  9999  9999       1.051924    9999.000000       0.043429
   Phase      15   345600.000000  9999  9999      65.800000    9999.000000       2.000000
     Rho      16   432000.000000  9999  9999       1.044148    9999.000000       0.043429
   Phase      16   432000.000000  9999  9999      67.000000    9999.000000       2.000000
     C        17   518401.000000     1     0     726.970000    -294.300000      19.690000
     C        18   601137.000000     1     0     745.400000    -290.750000      19.580000
     C        19   697077.000000     1     0     767.810000    -292.870000      22.240000
     C        20   808330.000000     1     0     787.390000    -293.900000      20.730000
     C        21   937339.000000     1     0     807.390000    -303.640000      22.620000
     C        22  1086937.000000     1     0     832.830000    -298.100000      25.350000
     C        23  1260411.000000     1     0     845.310000    -304.040000      26.350000
     C        24  1461571.000000     1     0     857.850000    -314.850000      30.120000
     C        25  1694836.000000     1     0     882.820000    -346.310000      32.820000
     C        26  1965330.000000     1     0     905.020000    -373.690000      32.570000
     C        27  2278995.000000     1     0     916.310000    -401.370000      35.370000
     C        28  2642720.000000     1     0     929.560000    -409.610000      39.950000
     C        29  3064496.000000     1     0     953.840000    -414.910000      48.090000
     C        30  3553586.000000     1     0     992.630000    -412.070000      63.070000
     C        31  4120735.000000     1     0    1008.590000    -435.040000      71.810000
     C        32  4778400.000000     1     0    1029.910000    -466.980000      80.820000
     C        33  5541027.000000     1     0    1036.640000    -481.970000     106.790000
     C        34  6425370.000000     1     0    1119.870000    -507.970000     124.280000
     C        35  7450852.000000     1     0    1201.320000    -529.020000     152.390000
     C        36  8640000.000000     1     0    1166.220000    -571.620000     162.840000
