Station name   : synthetic_Dst_Qn
GG longitude   : 9999.000
GG latitude    : 9999.000
GM longitude   : 9999.000
GM latitude    : 9999.000
Number of data : 20
# TF_type  period_id    period       n     m         real           imag         std_err
     Q         1   172800.000000     1     0       0.364285       0.030690       0.011229
     Q         2   212306.460000     1     0       0.381112       0.033036       0.011125
     Q         3   260845.100000     1     0       0.360702       0.032434       0.011020
     Q         4   320480.910000     1     0       0.363754       0.034214       0.010915
     Q         5   393750.970000     1     0       0.353408       0.035058       0.010806
     Q         6   483772.420000     1     0       0.327738       0.034564       0.010694
     Q         7   594375.060000     1     0       0.347862       0.039302       0.010577
     Q         8   730264.280000     1     0       0.336857       0.041067       0.010453
     Q         9   897221.210000     1     0       0.340499       0.045085       0.010319
     Q        10  1102348.720000     1     0       0.329549       0.047654       0.010174
     Q        11  1354373.590000     1     0       0.325172       0.051561       0.010013
     Q        12  1664017.740000     1     0       0.338548       0.059008       0.009836
     Q        13  2044454.380000     1     0       0.310003       0.059426       0.009638
     Q        14  2511868.500000     1     0       0.303743       0.063964       0.009419
     Q        15  3086145.330000     1     0       0.310103       0.071546       0.009178
     Q        16  3791716.400000     1     0       0.288387       0.072607       0.008917
     Q        17  4658598.910000     1     0       0.268571       0.073441       0.008640
     Q        18  5723672.740000     1     0       0.278911       0.082490       0.008353
     Q        19  7032249.460000     1     0       0.251543       0.080322       0.008062
     Q        20  8640000.000000     1     0       0.255855       0.088402       0.007769
