Station name   : synthetic_Joint
GG longitude   : 249.167
GG latitude    : 32.077
GM longitude   : 9999.000
GM latitude    : 9999.000
Number of data : 66
# TF_type  period_id    period       n     m         real           imag         std_err
     Rho       1        1.000000  9999  9999       3.418086    9999.000000       0.104992
   Phase       1        1.000000  9999  9999      44.271561    9999.000000       1.359874
     Rho       2        1.595943  9999  9999       3.613281    9999.000000       0.105079
   Phase       2        1.595943  9999  9999      47.164553    9999.000000       1.371604
     Rho       3        2.547036  9999  9999       3.456215    9999.000000       0.105171
   Phase       3        2.547036  9999  9999      45.842583    9999.000000       1.394969
     Rho       4        4.064925  9999  9999       3.521089    9999.000000       0.105187
   Phase       4        4.064925  9999  9999      48.063587    9999.000000       1.435823
     Rho       5        6.487390  9999  9999       3.450370    9999.000000       0.104988
   Phase       5        6.487390  9999  9999      49.229745    9999.000000       1.497960
     Rho       6       10.353507  9999  9999       3.217367    9999.000000       0.104405
   Phase       6       10.353507  9999  9999      48.706240    9999.000000       1.580538
     Rho       7       16.523612  9999  9999       3.418861    9999.000000       0.103295
   Phase       7       16.523612  9999  9999      55.514308    9999.000000       1.677265
     Rho       8       26.370751  9999  9999       3.298230    9999.000000       0.101591
   Phase       8       26.370751  9999  9999      57.734874    9999.000000       1.778332
     Rho       9       42.086228  9999  9999       3.305824    9999.000000       0.099319
   Phase       9       42.086228  9999  9999      62.385665    9999.000000       1.874284
     Rho      10       67.167239  9999  9999       3.160380    9999.000000       0.096561
   Phase      10       67.167239  9999  9999      64.113992    9999.000000       1.958919
     Rho      11      107.195116  9999  9999       3.071433    9999.000000       0.093416
   Phase      11      107.195116  9999  9999      66.726085    9999.000000       2.029438
     Rho      12      171.077344  9999  9999       3.143564    9999.000000       0.089972
   Phase      12      171.077344  9999  9999      72.843895    9999.000000       2.084863
     Rho      13      273.029767  9999  9999       2.826801    9999.000000       0.086312
   Phase      13      273.029767  9999  9999      69.596271    9999.000000       2.125014
     Rho      14      435.740069  9999  9999       2.719457    9999.000000       0.082516
   Phase      14      435.740069  9999  9999      70.868422    9999.000000       2.150360
     Rho      15      695.416510  9999  9999       2.727551    9999.000000       0.078658
   Phase      15      695.416510  9999  9999      74.970438    9999.000000       2.162031
     Rho      16     1109.845428  9999  9999       2.494676    9999.000000       0.074801
   Phase      16     1109.845428  9999  9999      72.083542    9999.000000       2.161374
     Rho      17     1771.250545  9999  9999       2.288247    9999.000000       0.071005
   Phase      17     1771.250545  9999  9999      69.279216    9999.000000       2.149770
     Rho      18     2826.815714  9999  9999       2.344755    9999.000000       0.067337
   Phase      18     2826.815714  9999  9999      74.139361    9999.000000       2.129153
     Rho      19     4511.438034  9999  9999       2.091821    9999.000000       0.063865
   Phase      19     4511.438034  9999  9999      68.896893    9999.000000       2.103479
     Rho      20     7200.000000  9999  9999       2.112462    9999.000000       0.060627
   Phase      20     7200.000000  9999  9999      72.469064    9999.000000       2.079853
   SqG2L      21    14400.000000     7     6       1.465306       1.299655       0.060163
   SqG2L      22    17280.000000     6     5      -1.666894       0.893029       0.054994
   SqG2L      23    21600.000000     5     4      -0.214823      -1.559595       0.047906
   SqG2L      24    28800.000000     4     3       1.271397       0.286461       0.038933
   SqG2L      25    43200.000000     3     2      -0.516946       0.776222       0.028377
   SqG2L      26    86400.000000     2     1      -0.298451      -0.432641       0.017056
     Q        27   172800.000000     1     0       0.364285       0.030690       0.011229
     Q        28   212306.460000     1     0       0.381112       0.033036       0.011125
     Q        29   260845.100000     1     0       0.360702       0.032434       0.011020
     Q        30   320480.910000     1     0       0.363754       0.034214       0.010915
     Q        31   393750.970000     1     0       0.353408       0.035058       0.010806
     Q        32   483772.420000     1     0       0.327738       0.034564       0.010694
     Q        33   594375.060000     1     0       0.347862       0.039302       0.010577
     Q        34   730264.280000     1     0       0.336857       0.041067       0.010453
     Q        35   897221.210000     1     0       0.340499       0.045085       0.010319
     Q        36  1102348.720000     1     0       0.329549       0.047654       0.010174
     Q        37  1354373.590000     1     0       0.325172       0.051561       0.010013
     Q        38  1664017.740000     1     0       0.338548       0.059008       0.009836
     Q        39  2044454.380000     1     0       0.310003       0.059426       0.009638
     Q        40  2511868.500000     1     0       0.303743       0.063964       0.009419
     Q        41  3086145.330000     1     0       0.310103       0.071546       0.009178
     Q        42  3791716.400000     1     0       0.288387       0.072607       0.008917
     Q        43  4658598.910000     1     0       0.268571       0.073441       0.008640
     Q        44  5723672.740000     1     0       0.278911       0.082490       0.008353
     Q        45  7032249.460000     1     0       0.251543       0.080322       0.008062
     Q        46  8640000.000000     1     0       0.255855       0.088402       0.007769
