Station name   : synthetic_MT
GG longitude   : 9999.000
GG latitude    : 9999.000
GM longitude   : 9999.000
GM latitude    : 9999.000
Number of data : 40
# TF_type  period_id    period       n     m         real           imag         std_err
     Rho       1        1.000000  9999  9999       3.418086    9999.000000       0.104992
   Phase       1        1.000000  9999  9999      44.271561    9999.000000       1.359874
     Rho       2        1.595943  9999  9999       3.613281    9999.000000       0.105079
   Phase       2        1.595943  9999  9999      47.164553    9999.000000       1.371604
     Rho       3        2.547036  9999  9999       3.456215    9999.000000       0.105171
   Phase       3        2.547036  9999  9999      45.842583    9999.000000       1.394969
     Rho       4        4.064925  9999  9999       3.521089    9999.000000       0.105187
   Phase       4        4.064925  9999  9999      48.063587    9999.000000       1.435823
     Rho       5        6.487390  9999  9999       3.450370    9999.000000       0.104988
   Phase       5        6.487390  9999  9999      49.229745    9999.000000       1.497960
     Rho       6       10.353507  9999  9999       3.217367    9999.000000       0.104405
   Phase       6       10.353507  9999  9999      48.706240    9999.000000       1.580538
     Rho       7       16.523612  9999  9999       3.418861    9999.000000       0.103295
   Phase       7       16.523612  9999  9999      55.514308    9999.000000       1.677265
     Rho       8       26.370751  9999  9999       3.298230    9999.000000       0.101591
   Phase       8       26.370751  9999  9999      57.734874    9999.000000       1.778332
     Rho       9       42.086228  9999  9999       3.305824    9999.000000       0.099319
   Phase       9       42.086228  9999  9999      62.385665    9999.000000       1.874284
     Rho      10       67.167239  9999  9999       3.160380    9999.000000       0.096561
   Phase      10       67.167239  9999  9999      64.113992    9999.000000       1.958919
     Rho      11      107.195116  9999  9999       3.071433    9999.000000       0.093416
   Phase      11      107.195116  9999  9999      66.726085    9999.000000       2.029438
     Rho      12      171.077344  9999  9999       3.143564    9999.000000       0.089972
   Phase      12      171.077344  9999  9999      72.843895    9999.000000       2.084863
     Rho      13      273.029767  9999  9999       2.826801    9999.000000       0.086312
   Phase      13      273.029767  9999  9999      69.596271    9999.000000       2.125014
     Rho      14      435.740069  9999  9999       2.719457    9999.000000       0.082516
   Phase      14      435.740069  9999  9999      70.868422    9999.000000       2.150360
     Rho      15      695.416510  9999  9999       2.727551    9999.000000       0.078658
   Phase      15      695.416510  9999  9999      74.970438    9999.000000       2.162031
     Rho      16     1109.845428  9999  9999       2.494676    9999.000000       0.074801
   Phase      16     1109.845428  9999  9999      72.083542    9999.000000       2.161374
     Rho      17     1771.250545  9999  9999       2.288247    9999.000000       0.071005
   Phase      17     1771.250545  9999  9999      69.279216    9999.000000       2.149770
     Rho      18     2826.815714  9999  9999       2.344755    9999.000000       0.067337
   Phase      18     2826.815714  9999  9999      74.139361    9999.000000       2.129153
     Rho      19     4511.438034  9999  9999       2.091821    9999.000000       0.063865
   Phase      19     4511.438034  9999  9999      68.896893    9999.000000       2.103479
     Rho      20     7200.000000  9999  9999       2.112462    9999.000000       0.060627
   Phase      20     7200.000000  9999  9999      72.469064    9999.000000       2.079853
