Station name   : synthetic_Joint
GG longitude   : 249.167
GG latitude    : 32.077
GM longitude   : 9999.000
GM latitude    : 9999.000
Number of data : 66
# TF_type  period_id    period       n     m         real           imag         std_err
     Rho       1        1.000000  9999  9999       3.481701    9999.000000       0.104800
   Phase       1        1.000000  9999  9999      44.782480    9999.000000       1.347963
     Rho       2        1.595943  9999  9999       3.565337    9999.000000       0.104883
   Phase       2        1.595943  9999  9999      45.496585    9999.000000       1.338394
     Rho       3        2.547036  9999  9999       3.385672    9999.000000       0.105265
   Phase       3        2.547036  9999  9999      43.021129    9999.000000       1.337584
     Rho       4        4.064925  9999  9999       3.517957    9999.000000       0.105762
   Phase       4        4.064925  9999  9999      45.573329    9999.000000       1.370098
     Rho       5        6.487390  9999  9999       3.620531    9999.000000       0.105917
   Phase       5        6.487390  9999  9999      49.243268    9999.000000       1.440595
     Rho       6       10.353507  9999  9999       3.572541    9999.000000       0.105372
   Phase       6       10.353507  9999  9999      51.884110    9999.000000       1.530319
     Rho       7       16.523612  9999  9999       3.322134    9999.000000       0.104077
   Phase       7       16.523612  9999  9999      51.271118    9999.000000       1.606237
     Rho       8       26.370751  9999  9999       3.570243    9999.000000       0.102526
   Phase       8       26.370751  9999  9999      57.240906    9999.000000       1.643773
     Rho       9       42.086228  9999  9999       3.399875    9999.000000       0.101358
   Phase       9       42.086228  9999  9999      55.939895    9999.000000       1.667687
     Rho      10       67.167239  9999  9999       3.283524    9999.000000       0.100448
   Phase      10       67.167239  9999  9999      56.631717    9999.000000       1.732451
     Rho      11      107.195116  9999  9999       3.456032    9999.000000       0.098975
   Phase      11      107.195116  9999  9999      64.749103    9999.000000       1.854302
     Rho      12      171.077344  9999  9999       3.101313    9999.000000       0.096369
   Phase      12      171.077344  9999  9999      64.276542    9999.000000       1.997304
     Rho      13      273.029767  9999  9999       3.134056    9999.000000       0.092728
   Phase      13      273.029767  9999  9999      71.616373    9999.000000       2.118923
     Rho      14      435.740069  9999  9999       2.888211    9999.000000       0.088456
   Phase      14      435.740069  9999  9999      71.841019    9999.000000       2.200248
     Rho      15      695.416510  9999  9999       2.709316    9999.000000       0.083905
   Phase      15      695.416510  9999  9999      72.313145    9999.000000       2.239478
     Rho      16     1109.845428  9999  9999       2.645130    9999.000000       0.079378
   Phase      16     1109.845428  9999  9999      74.622958    9999.000000       2.239379
     Rho      17     1771.250545  9999  9999       2.538821    9999.000000       0.075188
   Phase      17     1771.250545  9999  9999      74.698465    9999.000000       2.212223
     Rho      18     2826.815714  9999  9999       2.358375    9999.000000       0.071463
   Phase      18     2826.815714  9999  9999      72.058253    9999.000000       2.183488
     Rho      19     4511.438034  9999  9999       2.265344    9999.000000       0.067986
   Phase      19     4511.438034  9999  9999      72.482667    9999.000000       2.175288
     Rho      20     7200.000000  9999  9999       2.329478    9999.000000       0.064396
   Phase      20     7200.000000  9999  9999      79.158516    9999.000000       2.188240
   SqG2L      21    14400.000000     7     6       1.484566       1.484654       0.063197
   SqG2L      22    17280.000000     6     5      -1.770094       0.818008       0.057363
   SqG2L      23    21600.000000     5     4      -0.131461      -1.587137       0.049515
   SqG2L      24    28800.000000     4     3       1.279228       0.346814       0.039846
   SqG2L      25    43200.000000     3     2      -0.565900       0.809005       0.028883
   SqG2L      26    86400.000000     2     1      -0.339236      -0.489112       0.017557
     Q        27   172800.000000     1     0       0.365917       0.033862       0.011061
     Q        28   212306.460000     1     0       0.370160       0.035209       0.010938
     Q        29   260845.100000     1     0       0.346259       0.034013       0.010817
     Q        30   320480.910000     1     0       0.353987       0.036129       0.010697
     Q        31   393750.970000     1     0       0.359497       0.038383       0.010577
     Q        32   483772.420000     1     0       0.352210       0.039619       0.010454
     Q        33   594375.060000     1     0       0.327329       0.039063       0.010327
     Q        34   730264.280000     1     0       0.352196       0.044885       0.010196
     Q        35   897221.210000     1     0       0.334242       0.045764       0.010057
     Q        36  1102348.720000     1     0       0.320498       0.047400       0.009911
     Q        37  1354373.590000     1     0       0.336342       0.053986       0.009756
     Q        38  1664017.740000     1     0       0.303975       0.053171       0.009589
     Q        39  2044454.380000     1     0       0.312389       0.059743       0.009410
     Q        40  2511868.500000     1     0       0.294596       0.061745       0.009219
     Q        41  3086145.330000     1     0       0.283674       0.065294       0.009015
     Q        42  3791716.400000     1     0       0.284270       0.072078       0.008801
     Q        43  4658598.910000     1     0       0.278776       0.078281       0.008575
     Q        44  5723672.740000     1     0       0.262426       0.082238       0.008333
     Q        45  7032249.460000     1     0       0.253353       0.089366       0.008063
     Q        46  8640000.000000     1     0       0.260223       0.104029       0.007747
